create EgoNets       a) assign IDs        b) find triangles    c) cluster EgoNet    d) compact EgoNet    e) EgoNet subsets    f) EgoNet subsetCnt  g) clean up          split Personas       connect Personas     Persona Clustering   create Cover         
0.024841             1e-06                0.002451             0.014637             0.000642             0.000915             0.000308             0.0                  4.8e-05              0.000965             0.004552             0.001193             
0.026876             1e-06                0.002627             0.015908             0.000862             0.001058             0.000594             0.0                  4.9e-05              0.000955             0.004427             0.00111              
0.02389              0.0                  0.002443             0.013626             0.000497             0.001194             0.000178             0.0                  6.8e-05              0.001362             0.004422             0.001164             
0.026117             0.0                  0.002608             0.015326             0.000649             0.000976             0.000513             0.0                  4.8e-05              0.000964             0.004319             0.001173             
0.026353             0.0                  0.002711             0.015466             0.000749             0.001126             0.000455             0.0                  4.8e-05              0.001034             0.004282             0.001053             
6.680772             0.000161             0.61388              3.784818             0.047549             0.043027             0.018191             3.7e-05              0.018543             0.5529               8.015097             0.310308             
0.080926             5e-06                0.017334             0.051017             0.001607             0.004006             0.001118             0.0                  7.7e-05              0.004743             0.015963             0.000519             
0.061139             0.0                  0.010059             0.040684             0.001325             0.002599             0.001004             0.0                  5.7e-05              0.002362             0.012558             0.000477             
0.060316             1e-06                0.00984              0.04021              0.001391             0.002678             0.000959             0.0                  8.8e-05              0.002804             0.01301              0.000444             
0.06515              0.0                  0.010517             0.043299             0.001557             0.002924             0.001013             0.0                  6.5e-05              0.002723             0.012426             0.000435             
0.061735             1e-06                0.009909             0.040699             0.001428             0.002911             0.001                0.0                  7.1e-05              0.002911             0.012578             0.000467             
0.060263             3e-06                0.009568             0.040367             0.001368             0.002453             0.000992             0.0                  6.4e-05              0.002626             0.012349             0.000401             
0.06183              0.0                  0.009795             0.041353             0.001351             0.002665             0.001022             0.0                  4.5e-05              0.002187             0.012109             0.00041              
0.066277             0.0                  0.010555             0.044243             0.001499             0.002995             0.001033             0.0                  6.1e-05              0.002663             0.012372             0.000391             
0.061167             0.0                  0.009528             0.040937             0.001378             0.002692             0.000997             0.0                  4.8e-05              0.002143             0.012461             0.000432             
0.064073             1e-06                0.010312             0.043116             0.001479             0.002908             0.001004             0.0                  6.4e-05              0.002746             0.012556             0.000484             
0.032286             2e-06                0.004038             0.01956              0.000741             0.001401             0.000507             0.0                  7.4e-05              0.001452             0.008803             0.000562             
0.029956             0.0                  0.003642             0.01809              0.000656             0.001212             0.000378             0.0                  6.3e-05              0.001634             0.00834              0.000467             
0.031067             0.0                  0.003809             0.019109             0.000809             0.001078             0.00058              0.0                  4.3e-05              0.000955             0.008223             0.000487             
0.030492             0.0                  0.003595             0.018759             0.000755             0.001002             0.000591             0.0                  4.7e-05              0.001216             0.009025             0.000595             
0.031898             1e-06                0.003954             0.019242             0.000881             0.001317             0.000668             0.0                  5.3e-05              0.001121             0.009673             0.000518             
0.030904             0.0                  0.003733             0.018869             0.000781             0.001168             0.000519             0.0                  5.6e-05              0.001268             0.008882             0.000547             
0.032104             1e-06                0.003829             0.019707             0.000839             0.001093             0.000721             0.0                  4.2e-05              0.000922             0.008179             0.000498             
0.030611             1e-06                0.003706             0.018548             0.000772             0.00115              0.000529             0.0                  5.1e-05              0.001139             0.008528             0.000473             
0.033412             1e-06                0.004042             0.020381             0.000906             0.001342             0.000708             0.0                  6.2e-05              0.001316             0.009668             0.000675             
0.026859             0.0                  0.003244             0.016236             0.000441             0.001038             0.000229             0.0                  5.9e-05              0.001311             0.007858             0.000609             
0.029537             1e-06                0.003182             0.017553             0.000942             0.00124              0.000758             0.0                  5.2e-05              0.001077             0.01274              0.00098              
0.028779             1e-06                0.002917             0.017033             0.000917             0.001184             0.000701             0.0                  5.4e-05              0.001089             0.013313             0.001079             
0.026425             1e-06                0.002637             0.015478             0.000734             0.000933             0.000536             0.0                  4.8e-05              0.000991             0.013231             0.001056             
0.027276             0.0                  0.003057             0.016285             0.000624             0.001309             0.000306             0.0                  7.4e-05              0.001505             0.014262             0.001336             
0.027736             1e-06                0.002838             0.016478             0.000851             0.001097             0.000631             0.0                  4.9e-05              0.001004             0.013075             0.001015             
0.027217             2e-06                0.00266              0.016144             0.000766             0.001128             0.000604             0.0                  5.7e-05              0.001092             0.014055             0.001076             
0.026717             0.0                  0.002597             0.015788             0.000818             0.001068             0.000503             0.0                  5.1e-05              0.000946             0.013243             0.001059             
0.024657             1e-06                0.002479             0.014214             0.000581             0.001172             0.000253             0.0                  7.6e-05              0.001418             0.014113             0.001316             
0.026377             0.0                  0.002756             0.015218             0.000767             0.001248             0.000412             0.0                  6.6e-05              0.001239             0.012908             0.001037             
0.027395             1e-06                0.002794             0.016194             0.000748             0.001104             0.000627             0.0                  5.3e-05              0.000983             0.013553             0.001057             
