algo                     graph      F1       F1_rev   NMI      time     
Ego_PLP_clean_OSLOM      LFR_mu_05  0.9536   0.9422   0.8490   2.7263   
Ego_PLP_clean_OSLOM      LFR_mu_05  0.9694   0.9694   0.8977   3.1985   
Ego_PLP_clean_OSLOM      LFR_mu_05  0.9769   0.9769   0.9105   3.4488   
Ego_PLP_clean_OSLOM      LFR_mu_05  0.9680   0.9680   0.8916   3.6084   
Ego_PLP_clean_OSLOM      LFR_mu_05  0.9671   0.9671   0.8919   3.6704   
Ego_PLP_clean_OSLOM      LFR_mu_10  0.9606   0.9606   0.8683   4.5158   
Ego_PLP_clean_OSLOM      LFR_mu_10  0.9463   0.9441   0.8531   3.2406   
Ego_PLP_clean_OSLOM      LFR_mu_10  0.9496   0.9496   0.8488   4.0153   
Ego_PLP_clean_OSLOM      LFR_mu_10  0.9467   0.9181   0.8179   3.4224   
Ego_PLP_clean_OSLOM      LFR_mu_10  0.9760   0.9760   0.9121   4.2208   
Ego_PLP_clean_OSLOM      LFR_mu_15  0.9397   0.9168   0.7919   3.4049   
Ego_PLP_clean_OSLOM      LFR_mu_15  0.9445   0.9313   0.8325   4.3245   
Ego_PLP_clean_OSLOM      LFR_mu_15  0.9434   0.9228   0.8078   3.4083   
Ego_PLP_clean_OSLOM      LFR_mu_15  0.9371   0.9160   0.7895   4.2523   
Ego_PLP_clean_OSLOM      LFR_mu_15  0.9262   0.9116   0.7790   3.9910   
Ego_PLP_clean_OSLOM      LFR_mu_20  0.8834   0.8470   0.6717   4.3718   
Ego_PLP_clean_OSLOM      LFR_mu_20  0.9105   0.8564   0.6891   3.8378   
Ego_PLP_clean_OSLOM      LFR_mu_20  0.9098   0.9098   0.7663   4.4789   
Ego_PLP_clean_OSLOM      LFR_mu_20  0.9110   0.7987   0.6272   3.4313   
Ego_PLP_clean_OSLOM      LFR_mu_20  0.9073   0.8441   0.6828   4.6864   
Ego_PLP_clean_OSLOM      LFR_mu_25  0.8905   0.8457   0.6637   4.4044   
Ego_PLP_clean_OSLOM      LFR_mu_25  0.8904   0.7963   0.6202   3.8143   
Ego_PLP_clean_OSLOM      LFR_mu_25  0.9070   0.8445   0.6649   3.6125   
Ego_PLP_clean_OSLOM      LFR_mu_25  0.8808   0.8054   0.6117   3.8589   
Ego_PLP_clean_OSLOM      LFR_mu_25  0.9023   0.8175   0.6378   4.0155   
Ego_PLP_clean_OSLOM      LFR_mu_30  0.8339   0.7282   0.5121   4.2471   
Ego_PLP_clean_OSLOM      LFR_mu_30  0.8716   0.7376   0.5455   4.2194   
Ego_PLP_clean_OSLOM      LFR_mu_30  0.8814   0.7606   0.5762   3.5446   
Ego_PLP_clean_OSLOM      LFR_mu_30  0.8257   0.6638   0.4456   3.9071   
Ego_PLP_clean_OSLOM      LFR_mu_30  0.8769   0.7381   0.5361   3.6379   
Ego_PLP_clean_OSLOM      LFR_mu_35  0.8082   0.6298   0.4162   3.3747   
Ego_PLP_clean_OSLOM      LFR_mu_35  0.7916   0.6371   0.3948   3.6410   
Ego_PLP_clean_OSLOM      LFR_mu_35  0.7871   0.5707   0.3574   3.1913   
Ego_PLP_clean_OSLOM      LFR_mu_35  0.7954   0.5956   0.3723   3.6470   
Ego_PLP_clean_OSLOM      LFR_mu_35  0.8213   0.6373   0.4156   4.4408   
Ego_PLP_clean_OSLOM      LFR_mu_40  0.7411   0.5111   0.3023   2.9333   
Ego_PLP_clean_OSLOM      LFR_mu_40  0.7470   0.5097   0.2870   2.5255   
Ego_PLP_clean_OSLOM      LFR_mu_40  0.7226   0.4640   0.2579   2.6291   
Ego_PLP_clean_OSLOM      LFR_mu_40  0.6738   0.4147   0.2176   2.7270   
Ego_PLP_clean_OSLOM      LFR_mu_40  0.7475   0.5159   0.3139   3.3781   
Ego_PLP_clean_OSLOM      LFR_mu_45  0.5611   0.3265   0.1030   2.8572   
Ego_PLP_clean_OSLOM      LFR_mu_45  0.6380   0.3737   0.1656   2.2671   
Ego_PLP_clean_OSLOM      LFR_mu_45  0.5483   0.2855   0.1061   2.8053   
Ego_PLP_clean_OSLOM      LFR_mu_45  0.6724   0.3972   0.2128   2.6592   
Ego_PLP_clean_OSLOM      LFR_mu_45  0.6257   0.3567   0.1610   2.4577   
Ego_PLP_clean_OSLOM      LFR_mu_50  0.4396   0.2190   0.0161   2.1899   
Ego_PLP_clean_OSLOM      LFR_mu_50  0.3028   0.1550   0.0000   2.2363   
Ego_PLP_clean_OSLOM      LFR_mu_50  0.4331   0.2233   0.0320   2.0959   
Ego_PLP_clean_OSLOM      LFR_mu_50  0.4443   0.2246   0.0385   2.9091   
Ego_PLP_clean_OSLOM      LFR_mu_50  0.4966   0.2547   0.0583   2.6892   
Ego_PLP_clean_OSLOM      LFR_mu_55  0.3037   0.1476   -1.0000  2.2965   
Ego_PLP_clean_OSLOM      LFR_mu_55  0.2462   0.1274   -1.0000  1.9932   
Ego_PLP_clean_OSLOM      LFR_mu_55  0.3905   0.1857   0.0055   2.1460   
Ego_PLP_clean_OSLOM      LFR_mu_55  0.2126   0.1079   0.0000   2.2654   
Ego_PLP_clean_OSLOM      LFR_mu_55  0.1890   0.1087   0.0000   2.0560   
Ego_PLM                  LFR_om_1   0.9190   0.9190   0.7750   0.1680   
Ego_PLM                  LFR_om_1   0.9239   0.9239   0.7840   0.1808   
Ego_PLM                  LFR_om_1   0.8702   0.9270   0.7846   0.1746   
Ego_PLM                  LFR_om_1   0.9209   0.9209   0.7838   0.1616   
Ego_PLM                  LFR_om_1   0.8945   0.9235   0.7821   0.1716   
Ego_PLM                  LFR_om_2   0.8834   0.8834   0.7104   0.2529   
Ego_PLM                  LFR_om_2   0.8590   0.8744   0.6913   0.2690   
Ego_PLM                  LFR_om_2   0.8785   0.8785   0.7025   0.2561   
Ego_PLM                  LFR_om_2   0.8731   0.8617   0.7013   0.2628   
Ego_PLM                  LFR_om_2   0.8714   0.8714   0.6858   0.2790   
Ego_PLM                  LFR_om_3   0.7901   0.7318   0.5901   0.4106   
Ego_PLM                  LFR_om_3   0.7815   0.7192   0.5917   0.3846   
Ego_PLM                  LFR_om_3   0.7797   0.7159   0.5860   0.3882   
Ego_PLM                  LFR_om_3   0.7545   0.6825   0.5596   0.3958   
Ego_PLM                  LFR_om_3   0.7763   0.7171   0.5847   0.4172   
Ego_PLM                  LFR_om_4   0.5074   0.4270   0.1845   0.5875   
Ego_PLM                  LFR_om_4   0.5089   0.4210   0.1996   0.6112   
Ego_PLM                  LFR_om_4   0.5000   0.4320   0.2045   0.5863   
Ego_PLM                  LFR_om_4   0.5037   0.4219   0.1950   0.5928   
Ego_PLM                  LFR_om_4   0.4979   0.4304   0.2046   0.5841   
Ego_PLM                  LFR_om_5   0.3241   0.2226   0.0106   0.8092   
Ego_PLM                  LFR_om_5   0.3646   0.2496   0.0295   0.8336   
Ego_PLM                  LFR_om_5   0.3438   0.2396   0.0101   0.8536   
Ego_PLM                  LFR_om_5   0.2941   0.2126   0.0066   0.7956   
Ego_PLM                  LFR_om_5   0.3272   0.2244   0.0031   0.8539   
Ego_PLM                  LFR_mu_00  0.9928   0.9826   0.9781   0.0713   
Ego_PLM                  LFR_mu_00  0.9908   0.9645   0.9542   0.0808   
Ego_PLM                  LFR_mu_00  0.9895   0.9746   0.9725   0.0752   
Ego_PLM                  LFR_mu_00  0.9863   0.9643   0.9519   0.0724   
Ego_PLM                  LFR_mu_00  0.9879   0.9796   0.9602   0.0758   
Ego_PLM                  LFR_mu_05  0.9754   0.9423   0.9219   0.0813   
Ego_PLM                  LFR_mu_05  0.9683   0.9331   0.9113   0.0754   
Ego_PLM                  LFR_mu_05  0.9747   0.9572   0.9338   0.0746   
Ego_PLM                  LFR_mu_05  0.9724   0.9255   0.9074   0.0830   
Ego_PLM                  LFR_mu_05  0.9627   0.8988   0.8858   0.0840   
Ego_PLM                  LFR_mu_10  0.9338   0.8499   0.8054   0.0762   
Ego_PLM                  LFR_mu_10  0.9352   0.8352   0.7965   0.0764   
Ego_PLM                  LFR_mu_10  0.9292   0.8683   0.8293   0.0808   
Ego_PLM                  LFR_mu_10  0.9196   0.8540   0.8023   0.0801   
Ego_PLM                  LFR_mu_10  0.9371   0.8571   0.8040   0.0863   
Ego_PLM                  LFR_mu_15  0.8569   0.7505   0.6484   0.0883   
Ego_PLM                  LFR_mu_15  0.8769   0.7993   0.7487   0.0748   
Ego_PLM                  LFR_mu_15  0.8547   0.7215   0.6597   0.0876   
Ego_PLM                  LFR_mu_15  0.8444   0.7466   0.6613   0.0786   
Ego_PLM                  LFR_mu_15  0.8724   0.7508   0.6737   0.0816   
Ego_PLM                  LFR_mu_20  0.7734   0.6800   0.5689   0.0825   
Ego_PLM                  LFR_mu_20  0.7928   0.6629   0.5485   0.0783   
Ego_PLM                  LFR_mu_20  0.7902   0.6503   0.5565   0.0850   
Ego_PLM                  LFR_mu_20  0.7205   0.6417   0.4970   0.0770   
Ego_PLM                  LFR_mu_20  0.7994   0.7040   0.5856   0.0805   
Ego_PLM                  LFR_mu_25  0.7220   0.6376   0.5098   0.0813   
Ego_PLM                  LFR_mu_25  0.7028   0.5837   0.4339   0.0882   
Ego_PLM                  LFR_mu_25  0.7366   0.6129   0.4515   0.0881   
Ego_PLM                  LFR_mu_25  0.7118   0.5926   0.4478   0.0935   
Ego_PLM                  LFR_mu_25  0.7249   0.6134   0.4735   0.0852   
Ego_PLM                  LFR_mu_30  0.6000   0.5180   0.3084   0.0906   
Ego_PLM                  LFR_mu_30  0.6303   0.5236   0.3430   0.0834   
Ego_PLM                  LFR_mu_30  0.6074   0.5378   0.3638   0.0826   
Ego_PLM                  LFR_mu_30  0.5986   0.5136   0.3140   0.0908   
Ego_PLM                  LFR_mu_30  0.6135   0.5411   0.3719   0.0925   
Ego_PLM                  LFR_mu_35  0.5691   0.4530   0.2076   0.0875   
Ego_PLM                  LFR_mu_35  0.5133   0.4600   0.1569   0.0838   
Ego_PLM                  LFR_mu_35  0.4788   0.4260   0.1475   0.0797   
Ego_PLM                  LFR_mu_35  0.5515   0.4729   0.2125   0.0868   
Ego_PLM                  LFR_mu_35  0.5548   0.4660   0.2222   0.0865   
Ego_PLM                  LFR_mu_40  0.4567   0.4033   0.0833   0.0864   
Ego_PLM                  LFR_mu_40  0.4560   0.3964   0.0686   0.0913   
Ego_PLM                  LFR_mu_40  0.4628   0.4178   0.0953   0.0938   
Ego_PLM                  LFR_mu_40  0.3851   0.3785   0.0589   0.0845   
Ego_PLM                  LFR_mu_40  0.4383   0.4009   0.0847   0.0823   
Ego_PLM                  LFR_mu_45  0.3609   0.3352   0.0235   0.0857   
Ego_PLM                  LFR_mu_45  0.3441   0.3209   0.0261   0.0865   
Ego_PLM                  LFR_mu_45  0.3437   0.3294   0.0386   0.0832   
Ego_PLM                  LFR_mu_45  0.3954   0.3514   0.0325   0.0809   
Ego_PLM                  LFR_mu_45  0.4337   0.3711   0.0726   0.0861   
Ego_PLM                  LFR_mu_50  0.3691   0.3054   0.0138   0.0900   
Ego_PLM                  LFR_mu_50  0.3100   0.2823   0.0176   0.0792   
Ego_PLM                  LFR_mu_50  0.3512   0.3166   0.0342   0.0940   
Ego_PLM                  LFR_mu_50  0.3756   0.3179   0.0360   0.0815   
Ego_PLM                  LFR_mu_50  0.3575   0.3153   0.0405   0.0859   
Ego_PLM                  LFR_mu_55  0.2872   0.2550   0.0052   0.0828   
Ego_PLM                  LFR_mu_55  0.2682   0.2761   0.0069   0.0799   
Ego_PLM                  LFR_mu_55  0.2814   0.2546   0.0048   0.0796   
Ego_PLM                  LFR_mu_55  0.2849   0.2721   0.0046   0.0809   
Ego_PLM                  LFR_mu_55  0.2738   0.2524   0.0073   0.0814   
Ego_PLM_clean_OSLOM      LFR_om_1   0.9551   0.9804   0.9535   3.9583   
Ego_PLM_clean_OSLOM      LFR_om_1   0.9941   0.9941   0.9840   3.7828   
Ego_PLM_clean_OSLOM      LFR_om_1   0.9734   0.9913   0.9782   3.0407   
Ego_PLM_clean_OSLOM      LFR_om_1   0.9725   0.9929   0.9751   3.6443   
Ego_PLM_clean_OSLOM      LFR_om_1   1.0000   1.0000   1.0000   3.6760   
Ego_PLM_clean_OSLOM      LFR_om_2   0.9973   0.9973   0.9890   7.8259   
